Item_Identifier,Outlet_Identifier,Item_Outlet_Sales (Predicted)
FDW58,OUT049,1613.758924
FDW14,OUT017,1329.689967
NCN55,OUT010,509.8812291
FDQ58,OUT017,2511.642001
FDY38,OUT027,5294.405022
FDH56,OUT046,1876.869728
FDL48,OUT018,900.2563135
FDC48,OUT027,1948.384547
FDN33,OUT045,1570.447925
FDA36,OUT017,3131.132681
FDT44,OUT017,1876.869728
FDQ56,OUT045,1329.689967
NCC54,OUT019,1140.462698
FDU11,OUT049,1876.869728
DRL59,OUT013,887.0865108
FDM24,OUT049,2589.464728
FDI57,OUT045,3131.132681
DRC12,OUT018,2841.743322
NCM42,OUT027,3222.393165
FDA46,OUT010,508.5606106
FDA31,OUT013,2970.813161
NCJ31,OUT035,3649.152285
FDG52,OUT046,962.7569674
NCL19,OUT019,585.4516073
FDS10,OUT035,3131.132681
FDX22,OUT010,509.1381994
NCF19,OUT035,962.7569674
NCE06,OUT046,2865.801465
DRC27,OUT046,3674.451961
FDE21,OUT035,1876.869728
NCR42,OUT019,173.4398496
FDX51,OUT018,2841.743322
NCR06,OUT018,784.9126557
FDU31,OUT027,5750.527443
FDU59,OUT017,2865.801465
FDR03,OUT027,5236.835593
FDS49,OUT027,1930.864944
FDD48,OUT010,226.1817258
NCF18,OUT017,3131.132681
NCD43,OUT027,2686.058062
NCD54,OUT018,2394.496879
FDY19,OUT010,267.2607233
NCY54,OUT017,2648.39866
NCL19,OUT018,2431.094061
FDP23,OUT010,501.5260673
FDC26,OUT013,1779.895111
FDR14,OUT010,145.9248956
NCS41,OUT035,3131.132681
FDF41,OUT035,3674.451961
FDU34,OUT046,1876.869728
DRH11,OUT046,909.2486105
FDM03,OUT013,1613.758924
FDS31,OUT017,3131.132681
FDJ20,OUT017,1876.869728
FDV44,OUT027,5413.949638
FDG02,OUT049,3131.132681
FDA09,OUT013,2970.813161
FDT04,OUT013,940.5948678
FDL58,OUT019,1112.156057
FDE52,OUT045,1570.447925
FDW12,OUT035,2589.464728
FDL51,OUT017,3520.439369
NCY42,OUT027,3302.737129
FDR07,OUT017,1613.758924
FDN40,OUT045,2511.642001
FDB35,OUT027,2531.047174
FDA22,OUT017,2865.801465
NCL06,OUT046,3674.451961
FDI35,OUT013,3131.132681
NCW42,OUT045,3520.439369
NCX06,OUT049,2970.813161
FDC37,OUT027,2487.128701
FDZ14,OUT018,1603.474891
DRG49,OUT049,3674.451961
NCG06,OUT045,3674.451961
DRC36,OUT045,2970.813161
FDV21,OUT019,654.1602726
FDB53,OUT046,2511.642001
DRP47,OUT019,736.5257825
FDA14,OUT013,2511.642001
DRC24,OUT035,2511.642001
FDW21,OUT018,1412.721813
NCH29,OUT046,1613.758924
FDU58,OUT013,3131.132681
FDY27,OUT017,2970.813161
FDV56,OUT035,1613.758924
FDT59,OUT046,3520.439369
FDB23,OUT046,3520.439369
FDR49,OUT045,962.7569674
FDB03,OUT010,605.4015072
FDN39,OUT045,2865.801465
FDX02,OUT027,5421.657104
FDQ16,OUT027,2784.762608
FDU35,OUT018,1412.721813
NCT29,OUT013,1876.869728
FDZ27,OUT046,962.7569674
FDN57,OUT017,1876.869728
FDA03,OUT018,2431.094061
FDZ36,OUT045,3131.132681
NCU05,OUT013,1171.73857
FDT39,OUT018,2431.094061
FDK60,OUT017,1613.758924
FDZ25,OUT017,2865.801465
FDG12,OUT046,1876.869728
DRB01,OUT019,947.72627
NCC43,OUT027,5209.802561
FDX13,OUT019,1140.462698
FDM22,OUT049,962.7569674
FDJ03,OUT027,1839.079989
FDU14,OUT018,3125.475166
FDB33,OUT010,427.5891216
FDP27,OUT046,3131.132681
FDO38,OUT010,195.3036302
FDE28,OUT027,5294.405022
FDO27,OUT035,1534.259719
DRL23,OUT027,2784.762608
FDS28,OUT046,962.7569674
FDX24,OUT013,1613.758924
FDZ02,OUT035,1613.758924
FDL46,OUT045,1833.558728
FDS60,OUT027,4866.457309
NCO06,OUT017,962.7569674
FDO16,OUT035,1329.689967
FDC60,OUT049,1329.689967
FDA48,OUT018,3125.475166
FDZ36,OUT027,4681.635798
FDK27,OUT045,1833.558728
FDW23,OUT018,900.2563135
FDM14,OUT018,1506.500274
FDM14,OUT013,1613.758924
FDW60,OUT018,2841.743322
FDE21,OUT013,1876.869728
NCM42,OUT035,1613.758924
FDY59,OUT010,214.6624357
DRI49,OUT049,1114.401463
FDT28,OUT019,793.583749
FDQ22,OUT018,900.2563135
FDR60,OUT049,1193.900669
FDC50,OUT019,468.8975519
FDV24,OUT013,2589.464728
DRF48,OUT010,568.695922
FDQ47,OUT046,962.7569674
DRN36,OUT049,1613.758924
NCY06,OUT035,1876.869728
FDE52,OUT035,1613.758924
NCB54,OUT045,1833.558728
NCF31,OUT035,2511.642001
FDJ08,OUT027,5603.276657
NCC07,OUT017,1613.758924
NCD19,OUT027,1740.375444
FDL46,OUT049,1876.869728
FDM20,OUT045,3674.451961
NCI06,OUT010,509.8812291
DRM11,OUT035,3674.451961
NCH07,OUT018,2700.134442
FDS23,OUT013,1876.869728
FDO49,OUT018,900.2563135
FDS35,OUT049,1062.143099
DRK39,OUT045,1329.689967
DRI39,OUT049,1062.143099
FDV04,OUT017,2511.642001
NCN14,OUT035,3131.132681
FDH08,OUT013,3520.439369
FDS20,OUT046,3131.132681
